x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,yaw,pitch,roll,img
279.05283,281.67548,285.68677,287.89954,284.69318,275.74564,261.6953,252.67186,252.65305,264.91882,283.4949,304.49753,320.659,328.67633,329.79242,328.57822,326.16675,214.48862,205.24425,199.50201,196.95734,197.7061,210.36621,214.93532,222.95331,234.47903,249.83823,209.9833,204.38919,197.77487,196.89305,213.86691,211.64452,212.50873,217.10764,222.98071,214.53589,207.13673,210.41489,216.64586,212.61314,211.76404,229.02011,228.33868,229.6224,241.1583,234.3194,229.78549,223.14232,212.33481,209.85872,211.6826,214.59128,227.32321,245.69734,235.74458,229.02922,224.6127,222.08615,222.03777,223.84404,217.05966,217.19394,223.41469,245.58133,227.44647,223.86053,222.87137,203.18834,223.50806,242.81386,261.10004,282.72668,304.00943,322.3075,340.35126,352.75076,351.9668,342.4786,329.88776,313.51395,294.60226,278.3991,261.48138,242.19308,195.80197,189.76215,192.2616,198.84314,205.05235,220.33968,219.32983,219.8727,223.2943,230.67474,240.41211,255.26784,268.80563,279.47345,279.66855,283.14966,286.85083,287.74582,288.00494,221.71346,220.36063,222.56645,229.71466,231.58405,228.8377,240.95148,239.5293,242.2401,245.8795,248.7297,246.25645,304.59497,300.68997,300.09137,303.85065,303.71994,311.4291,319.08432,325.27173,328.36832,327.1497,323.64362,315.69916,305.01852,307.28442,309.3315,311.98444,318.51562,319.20294,317.4652,313.99393,69.062935,-48.79555,-31.882296,image03258
106.78756,107.11935,111.29989,115.84737,124.1162,140.81512,161.3024,185.51682,216.90814,245.06805,261.8181,271.87408,280.65204,286.7639,292.5873,299.64536,303.30524,152.63712,168.57895,185.54982,200.29874,212.71016,259.9008,271.58844,283.64618,295.86584,303.10266,236.96255,238.40584,240.43185,239.65715,212.8645,222.24051,233.52502,243.54707,250.37714,170.831,182.67961,194.52032,203.84564,194.14955,180.94725,255.32893,268.5998,280.68005,287.01605,279.63293,267.02948,180.47263,201.36404,223.15454,232.37515,241.26129,255.532,263.7587,251.12921,240.38257,228.17856,215.30399,201.19077,183.33911,218.27037,230.74034,241.73907,261.78378,239.47865,228.62605,216.9914,210.01349,238.4981,264.91675,287.9239,313.39578,335.63422,351.00305,367.20172,377.38403,371.4864,359.01453,345.75836,325.67944,300.87283,277.97314,251.65054,222.88403,195.39568,193.16107,193.03448,195.51936,199.48392,204.7879,202.16557,201.85497,204.21107,206.59227,220.95479,238.09393,256.4944,271.5183,275.69962,279.25955,282.153,280.0514,277.57852,212.35878,207.8785,208.47278,216.6164,218.76508,217.52223,221.15002,214.27338,215.508,220.84853,224.60255,224.41136,296.97958,296.8642,297.23535,299.41193,298.32596,301.8385,307.1497,322.19788,329.11255,329.35077,326.32385,316.4529,298.01828,303.59497,304.52728,305.67432,307.28482,319.0763,319.0935,316.20816,-13.392587,-6.686405,5.489456,image03247
123.7466,123.77142,123.46777,127.416306,139.26894,162.4703,190.68597,213.83716,222.32365,212.37135,189.05154,164.98056,146.01744,136.39575,134.57005,135.5837,136.75455,212.47643,229.75662,241.53342,248.64938,252.23157,256.81616,255.06702,250.03784,240.72577,224.77225,253.42264,262.78442,273.29727,273.26254,244.8623,249.7796,251.913,250.05026,245.21622,222.06837,234.65164,235.44614,231.8241,234.11282,230.38269,234.14447,239.42905,239.27844,229.34103,236.486,238.14307,231.29373,242.62503,249.6583,249.46954,248.7619,240.95013,227.0727,238.99225,244.05112,245.44986,244.57788,240.68582,231.97562,240.66364,243.37637,241.49823,227.15976,240.53564,242.29385,243.03738,182.10104,207.08238,230.78152,254.52414,282.66394,310.45184,333.44742,354.13123,374.39844,381.38303,380.70776,375.59766,363.74335,346.47174,327.21985,307.2028,283.90665,172.93274,173.21707,177.71936,183.81647,189.81747,221.86739,225.78372,232.34334,241.72784,252.38644,234.44289,251.34633,266.9313,280.02087,281.17966,285.6748,291.08664,293.9092,296.1643,200.64369,199.9501,206.2939,219.28027,217.14581,210.2273,246.24706,245.57327,251.97354,261.38745,260.27072,254.39896,299.0704,301.0489,305.37872,310.82898,312.60294,321.63385,331.13727,334.35333,334.13043,329.21423,322.5904,313.16364,300.2598,311.93948,316.4459,320.2951,330.6131,324.62158,320.4031,315.17682,-82.82469,-31.047533,61.351288,image03252
241.90388,241.49951,242.88312,242.78964,240.46445,236.20209,231.27866,229.64096,238.73349,256.1869,276.3426,296.3747,313.5513,323.67807,329.12573,332.6599,335.4859,210.1268,208.4361,209.32455,211.89694,215.77081,240.7081,248.7698,259.25974,271.86234,284.12354,226.87024,220.8864,215.05746,213.39156,220.32004,220.56607,223.57098,229.09871,235.09833,213.29384,211.39325,217.33554,224.33496,217.99695,213.56744,250.17786,254.1676,260.29602,269.84998,261.21814,253.62161,220.10997,217.12285,219.4307,222.38828,226.22383,236.39285,248.29372,237.84766,230.62958,224.89896,220.5304,219.12973,220.97949,221.85022,224.7486,230.3212,246.79141,230.35278,225.61737,222.17682,207.35449,226.14975,243.77629,260.15598,278.98746,297.33044,311.62524,325.2526,336.00598,336.64667,330.88568,322.64874,309.36154,293.28433,278.45807,262.62048,244.51541,202.78854,199.08401,201.72145,206.92416,212.60825,221.92006,220.9686,221.08136,224.00261,232.34154,239.65659,253.04428,265.81415,275.40778,276.5015,279.16763,282.0488,282.3483,282.0313,223.23698,222.499,225.10454,230.92986,231.69113,229.24974,241.14346,239.77994,242.24242,246.12073,248.10117,245.74512,293.00803,291.7056,291.30612,293.67847,294.16675,299.73706,305.8321,310.42896,312.36844,310.92987,307.8227,301.83725,293.36877,296.25345,298.07925,300.00455,305.23682,304.3177,302.94162,300.31104,47.252384,-21.523932,0.100377575,image03237
106.61653,113.84815,124.36699,134.66116,146.94208,164.04477,182.50476,206.71774,243.1804,279.36014,304.55652,324.13443,338.5049,345.1777,348.97223,351.71036,350.74826,121.8233,133.30685,149.48099,166.05403,181.5995,245.1948,260.3308,277.73907,296.9832,313.75217,217.63107,219.36829,221.03612,222.99625,206.69771,215.12051,226.7825,237.81013,246.59114,146.9498,155.88953,171.47078,186.98183,174.28954,158.48001,251.35567,264.65085,280.76315,293.59186,281.75858,264.98935,190.85094,203.51277,219.87132,229.58632,238.58475,257.80933,274.17065,259.77612,247.12611,233.53398,219.82623,207.00548,194.84521,218.98276,230.79358,243.0656,271.31256,243.46991,231.53793,219.72672,253.03928,285.5625,314.533,340.0029,366.1646,385.03915,393.43378,398.3399,399.05548,388.0638,376.59607,363.62466,340.63318,311.8067,284.60388,254.00906,220.54514,202.69331,188.83325,181.09656,178.81903,180.46637,171.93182,165.77667,163.00427,165.87381,176.88947,208.65308,227.61758,246.08182,262.9807,284.3063,284.12085,284.5054,281.02872,278.94757,222.71928,213.01253,210.83105,217.14966,222.11569,225.29437,209.0447,198.60727,196.6091,203.76958,208.92621,210.13213,329.75165,316.08276,305.93045,306.44266,303.35284,308.5878,318.68958,327.15268,333.57776,336.16754,336.88464,333.92117,328.1828,318.8462,316.6084,315.73355,318.12878,319.93948,322.06128,323.02048,3.5788116,5.349906,-7.209053,image03250
70.1195,90.09631,109.81968,129.64426,156.12253,188.99197,222.01337,255.50891,284.22546,295.93988,290.16177,280.27982,266.86862,250.77997,237.75224,224.2197,207.22595,117.19644,127.91569,143.16159,157.5214,170.25294,202.47818,207.10541,212.325,217.38231,220.82713,204.66335,221.03607,239.01866,249.80252,229.1065,238.40701,247.65456,251.65704,252.1189,147.11606,155.92972,164.55733,174.24463,170.66745,160.44019,205.96884,211.06386,220.18275,223.6208,223.78326,216.43631,229.30385,243.83362,255.8091,262.57855,266.56714,274.9873,278.84955,280.41937,279.5664,273.10712,263.69537,249.87932,232.02698,255.06973,263.25806,269.2874,277.25055,271.05276,265.29587,256.55994,312.66644,334.28558,353.63965,369.2453,382.55127,385.74805,379.94595,374.59167,366.90988,354.53845,346.6532,340.70294,327.28683,307.3084,287.3651,265.07465,241.88245,232.78683,212.0039,199.45993,192.05527,189.37744,176.17877,171.62686,170.48682,173.47943,183.95148,203.84564,211.3782,219.84875,231.46307,265.21832,260.85452,257.7579,254.8165,254.62561,239.17017,224.5794,220.1748,224.7752,229.17636,235.65446,208.88109,197.27599,193.45868,201.00948,203.61734,206.42264,312.2719,293.5749,280.52887,278.73505,275.1872,279.75684,291.02405,295.45105,301.10617,305.04962,307.85168,308.73282,310.43945,293.12518,287.91296,286.9851,291.07504,292.06244,295.138,298.11853,-32.51049,33.861996,-41.058693,image03255
84.64537,90.54289,98.97613,107.33055,120.2628,142.4794,167.44267,194.21565,226.41376,254.28773,266.6392,274.98865,283.7196,286.5859,290.50275,294.57895,295.74893,128.07181,144.86568,164.3885,181.15668,195.68488,257.5302,269.30603,281.02795,293.0907,300.87668,229.99799,236.33499,241.9524,243.37122,215.80006,225.74205,237.9869,248.35413,254.36902,151.01938,164.57346,179.69347,192.16536,180.61215,164.60999,251.59973,265.6487,281.56842,287.00644,279.58466,265.7036,189.61197,206.41736,228.78119,238.98146,248.75143,264.21683,269.18024,260.9928,250.26907,234.93323,219.27417,204.571,192.95403,222.15788,236.92195,249.90945,267.28107,248.52232,233.95279,218.1148,205.36731,234.07713,259.6859,283.5626,311.4408,336.60916,356.85355,374.93262,380.80737,366.2552,341.76776,315.2145,285.69147,255.7918,231.2091,204.42116,175.42468,195.59668,185.50214,183.0568,183.85834,185.9833,172.57251,167.62512,162.32394,160.3883,168.99243,222.76819,248.64056,273.7466,290.77963,299.53766,301.3921,302.79828,298.56927,293.6118,220.07156,214.23785,213.65543,219.58592,226.4319,226.85681,211.15775,197.96964,194.9881,200.28758,208.48769,213.0004,324.83374,326.52356,323.93448,324.25415,321.74902,321.39044,317.86197,336.3197,347.68665,351.9007,350.95374,341.10858,324.32544,331.06735,330.18954,329.3021,317.91357,333.6942,337.4619,335.62054,-16.08205,-19.021708,-3.2845762,image03265
103.10553,108.7345,116.33836,124.6915,138.04707,159.77448,185.18031,213.3428,242.87863,263.12775,269.01862,270.20917,270.45996,269.14307,268.68356,269.27274,267.2126,152.4017,167.3484,183.2746,197.6668,209.59273,251.9899,260.60474,269.1859,276.95734,280.124,235.28522,241.57256,248.03992,250.45712,226.06348,234.32526,243.63156,250.3857,253.45993,173.42197,184.37617,194.6688,203.44269,196.31578,184.47832,245.68082,255.96709,266.39493,270.06406,265.6474,255.96738,207.57977,223.0527,238.35083,245.49811,251.84929,261.58624,266.01117,261.16864,254.77405,245.87746,236.0088,224.5239,210.76895,234.42972,243.89691,251.84448,264.3592,251.94696,243.80765,234.92628,241.11179,265.4442,287.2058,306.79608,327.4986,342.9418,350.7472,356.64886,358.67776,350.8005,341.5645,330.84943,313.32404,291.4653,270.7746,248.10028,223.22266,210.62357,201.69322,197.61603,197.35846,199.41101,194.7847,190.57162,188.16101,189.61871,196.32431,219.38426,233.53699,247.89697,260.62225,273.73096,274.38193,275.16235,272.68903,270.7423,226.10254,220.29205,219.06369,223.50351,226.76953,228.645,219.1443,212.294,211.38664,215.64297,219.70877,220.46327,305.67352,296.6861,290.32364,291.16925,289.01318,292.8354,299.4371,305.0541,309.14114,310.53958,310.989,308.72586,304.5889,298.88953,297.8105,297.29416,299.07248,300.08432,301.34796,301.64462,-25.629723,2.0808947,-6.6415634,image03233
105.27007,107.89779,113.35683,119.304855,129.8392,148.27261,170.58861,199.86182,234.83487,264.32065,280.71503,287.98865,293.40216,297.42133,298.89075,301.55637,300.96368,149.2956,163.45683,179.05322,194.19537,207.26599,258.64166,269.68973,281.05347,291.77002,299.38135,236.51044,239.99478,244.05063,245.445,217.70984,227.45934,239.0953,249.64359,256.5833,169.88525,180.9845,192.83484,202.81569,193.4545,180.26271,256.05225,266.3966,278.4417,285.98798,278.9698,267.2735,190.07675,207.9967,229.56238,240.43135,250.49646,267.2206,275.63806,265.6612,255.11534,241.11093,226.28622,210.54875,193.604,224.78381,239.51263,252.99442,274.01242,254.16074,241.27412,226.94827,234.76778,262.6167,287.43646,311.16833,336.80646,357.3533,369.38535,377.39227,380.97858,375.88696,368.34283,357.0202,336.06378,311.69226,287.30743,261.3654,233.14346,197.54477,189.6175,187.23505,188.62393,191.51135,195.64032,190.06711,187.45206,187.70041,195.42499,218.5711,236.3407,253.42628,268.51825,281.22214,282.66644,284.06744,281.6199,280.0158,219.28691,215.17928,215.29053,221.15695,223.7064,223.77928,220.0465,214.81604,214.45795,219.31683,224.3963,223.77567,319.57294,309.71927,302.08792,303.33527,301.31647,307.13495,315.20996,324.47858,329.46558,330.8205,330.1494,326.32135,318.43463,312.1809,310.82867,310.94244,314.81332,320.01605,320.76337,320.37476,-14.196693,1.5616555,-0.58805215,image03235
306.81036,301.42563,298.71274,294.6991,282.8158,264.66522,242.77965,223.71329,219.40483,236.09454,261.29477,288.93268,313.22458,328.09207,337.36996,343.6444,349.46805,236.99799,222.43558,217.60522,217.407,218.66646,229.52548,235.05519,244.03331,255.73486,270.88174,214.94885,202.06952,189.52707,184.14464,209.69624,205.11034,204.29015,210.17871,217.55817,230.8565,222.24948,223.42305,228.85062,223.9896,224.68309,241.74771,241.74362,242.67108,254.06984,244.44415,240.14569,224.11829,209.6628,202.73174,202.79384,206.2268,218.85838,237.19226,220.18301,211.42685,207.45944,207.57498,212.97667,224.34349,207.23975,206.25896,210.80537,235.97577,213.04994,210.37477,211.7144,237.67508,263.98022,289.7837,310.88794,330.34167,345.3427,354.73734,363.80817,373.1767,370.8537,365.90378,359.82715,347.41968,328.94446,311.02957,287.70404,261.4803,207.41223,203.55714,199.70303,196.65834,196.58238,202.061,199.52403,201.0283,206.87071,217.56963,225.3808,240.3773,254.03087,264.8283,271.6238,273.56335,276.02197,275.62244,274.5371,221.60388,220.95767,222.0636,225.54056,225.59676,226.59879,227.88326,221.62408,223.15404,231.35599,231.08946,230.67096,300.636,287.31378,281.45984,284.10797,283.80313,293.8247,311.4368,317.59073,318.85095,317.9212,316.28284,312.36914,300.3374,291.19702,292.433,294.20917,310.7462,310.38004,309.59464,308.0093,75.16522,18.36767,24.948063,image03244
