x,y,z,yaw,pitch,roll,img
56,16,22,69.062935,-48.79555,-31.882296,image03258
28,30,34,-13.392587,-6.686405,5.489456,image03247
5,22,53,-82.82469,-31.047533,61.351288,image03252
48,25,33,47.252384,-21.523932,0.100377575,image03237
34,34,30,3.5788116,5.349906,-7.209053,image03250
22,44,19,-32.51049,33.861996,-41.058693,image03255
27,26,31,-16.08205,-19.021708,-3.2845762,image03265
24,33,30,-25.629723,2.0808947,-6.6415634,image03233
28,33,32,-14.196693,1.5616555,-0.58805215,image03235
58,39,41,75.16522,18.36767,24.948063,image03244
26,29,34,-20.685398,-9.6174135,3.3570266,image03222
14,25,34,-56.46074,-21.718952,4.982131,image03249
33,28,33,0.6915654,-12.163202,0.13538712,image03212
36,28,30,11.787567,-13.828854,-8.6076565,image03236
46,24,27,39.20069,-25.563576,-15.519485,image03263
33,29,32,2.286279,-11.031929,-1.5583916,image03217
21,28,39,-34.977905,-14.606651,19.676455,image03216
23,30,36,-28.518518,-7.135322,11.422748,image03227
32,23,33,-2.3437834,-27.163183,1.1345142,image03238
7,33,39,-76.22358,0.17603974,20.775415,image03214
38,25,30,16.82077,-21.376179,-7.162612,image03264
54,10,13,65.6919,-68.29063,-58.445637,image03284
36,37,28,11.058009,14.224685,-14.56371,image03361
30,40,31,-7.5577493,23.147562,-4.8303776,image03345
14,29,33,-55.405537,-9.920085,2.1487193,image03354
7,43,22,-77.875015,30.661669,-31.4654,image03282
7,2,59,-75.0396,-91.060524,79.19103,image03283
8,66,-1,-73.61955,103.683525,-111.63407,image03273
31,31,30,-3.178733,-4.815419,-6.3708444,image03271
29,30,33,-11.746719,-6.705177,0.39184457,image03346
48,41,41,46.359337,25.415567,26.669044,image03302
50,35,35,52.775887,6.1241784,7.3734403,image03356
51,-1,4,56.28217,-101.33258,-86.80142,image03286
9,44,24,-69.08609,35.401096,-24.842043,image03315
13,31,30,-58.970078,-5.0598793,-6.844829,image03278
32,29,29,-0.7979609,-9.526372,-9.454931,image03281
42,27,30,28.212173,-15.287896,-8.02429,image03270
38,27,28,15.807626,-17.332485,-14.551488,image03360
33,33,29,0.028160129,2.355229,-9.333798,image03266
24,31,33,-24.395128,-3.8933291,1.3233687,image03349
28,39,31,-14.818736,19.69739,-4.2908597,image03350
29,38,32,-10.93651,17.30918,-0.8682727,image03324
22,36,31,-32.61206,10.413844,-4.0121026,image03322
31,32,32,-4.8255415,-0.43853486,-2.821294,image03402
41,30,31,24.743357,-6.7677803,-4.7432647,image03389
32,29,31,-1.5735005,-9.496214,-3.3115392,image03414
48,56,51,46.35745,69.977165,56.82765,image03431
33,33,28,1.2089051,2.4918907,-13.793922,image03372
37,34,33,12.343953,5.660806,0.67350465,image03390
33,33,31,0.9855944,0.66626674,-3.6466072,image03443
34,29,32,3.3102539,-10.466024,-2.4651792,image03392
32,33,31,-2.4911008,2.5249894,-5.1003103,image03386
53,25,26,61.3594,-21.176468,-20.428553,image03434
31,30,32,-5.1953015,-6.0536823,-2.327413,image03375
29,28,32,-11.175863,-14.982168,-2.8820097,image03376
6,38,28,-80.98063,17.461336,-12.161018,image03373
32,29,29,-2.09767,-11.205977,-9.210669,image03400
30,30,34,-8.082762,-6.501358,4.9881706,image03440
36,35,29,10.713442,6.6138716,-11.202329,image03444
39,35,34,18.883345,7.058,4.678629,image03364
26,30,32,-19.03035,-8.919187,-0.69918174,image03407
38,32,34,17.522879,-2.5040367,4.322362,image03362
37,30,27,14.033316,-7.1889515,-17.304996,image03391
40,33,34,22.710194,1.456521,3.3921218,image03404
30,32,36,-6.2145514,-0.92765343,11.96708,image03442
30,33,30,-6.731273,2.4034796,-6.8463826,image03427
17,21,38,-47.91014,-34.47448,15.154203,image03421
47,45,42,44.02648,37.00439,29.359646,image03482
14,33,34,-55.069027,1.1496451,5.303537,image03453
23,32,31,-27.003548,-2.0522726,-4.0807486,image03457
16,39,25,-49.15895,18.297852,-22.5303,image03488
